IDEA
an app where people could write summary of topics and everyone could access it
an app that keeps notes for all chapters so people don't have to search for notes from others
something that makes teachers believe cam doesn't work
an app that answers all my questions for me in exams
an app that speaks on my behalf in online classes
Something to answer my homework questions
